Water level ,Time,Date
1.79,4:00:00 PM,6/21/2022
1.75,4:06:00 PM,6/21/2022
1.68,4:12:00 PM,6/21/2022
1.6,4:18:00 PM,6/21/2022
1.51,4:24:00 PM,6/21/2022
1.45,4:30:00 PM,6/21/2022
1.36,4:36:00 PM,6/21/2022
1.29,4:42:00 PM,6/21/2022
1.23,4:48:00 PM,6/21/2022
1.22,4:54:00 PM,6/21/2022
1.14,5:00:00 PM,6/21/2022
1.06,5:06:00 PM,6/21/2022
0.96,5:12:00 PM,6/21/2022
0.96,5:18:00 PM,6/21/2022
0.9,5:24:00 PM,6/21/2022
0.81,5:30:00 PM,6/21/2022
0.78,5:36:00 PM,6/21/2022
0.72,5:42:00 PM,6/21/2022
0.64,5:48:00 PM,6/21/2022
0.56,5:54:00 PM,6/21/2022
0.5,6:00:00 PM,6/21/2022
0.39,6:06:00 PM,6/21/2022
0.35,6:12:00 PM,6/21/2022
0.27,6:18:00 PM,6/21/2022
0.19,6:24:00 PM,6/21/2022
0.12,6:30:00 PM,6/21/2022
0.07,6:36:00 PM,6/21/2022
-0.01,6:42:00 PM,6/21/2022
-0.08,6:48:00 PM,6/21/2022
-0.18,6:54:00 PM,6/21/2022
-0.21,7:00:00 PM,6/21/2022
-0.31,7:06:00 PM,6/21/2022
-0.36,7:12:00 PM,6/21/2022
-0.4,7:18:00 PM,6/21/2022
-0.46,7:24:00 PM,6/21/2022
-0.55,7:30:00 PM,6/21/2022
-0.63,7:36:00 PM,6/21/2022
-0.71,7:42:00 PM,6/21/2022
-0.75,7:48:00 PM,6/21/2022
-0.83,7:54:00 PM,6/21/2022
-0.91,8:00:00 PM,6/21/2022
-0.99,8:06:00 PM,6/21/2022
-1.06,8:12:00 PM,6/21/2022
-1.1,8:18:00 PM,6/21/2022
-1.18,8:24:00 PM,6/21/2022
-1.23,8:30:00 PM,6/21/2022
-1.31,8:36:00 PM,6/21/2022
-1.36,8:42:00 PM,6/21/2022
-1.42,8:48:00 PM,6/21/2022
-1.48,8:54:00 PM,6/21/2022
-1.53,9:00:00 PM,6/21/2022
-1.56,9:06:00 PM,6/21/2022
-1.6,9:12:00 PM,6/21/2022
-1.63,9:18:00 PM,6/21/2022
-1.66,9:24:00 PM,6/21/2022
-1.69,9:30:00 PM,6/21/2022
-1.67,9:36:00 PM,6/21/2022
-1.69,9:42:00 PM,6/21/2022
-1.68,9:48:00 PM,6/21/2022
-1.68,9:54:00 PM,6/21/2022
-1.65,10:00:00 PM,6/21/2022
-1.66,10:06:00 PM,6/21/2022
-1.6,10:12:00 PM,6/21/2022
-1.54,10:18:00 PM,6/21/2022
-1.48,10:24:00 PM,6/21/2022
-1.42,10:30:00 PM,6/21/2022
-1.37,10:36:00 PM,6/21/2022
-1.35,10:42:00 PM,6/21/2022
-1.28,10:48:00 PM,6/21/2022
-1.23,10:54:00 PM,6/21/2022
-1.18,11:00:00 PM,6/21/2022
-1.12,11:06:00 PM,6/21/2022
-1.09,11:12:00 PM,6/21/2022
-1.01,11:18:00 PM,6/21/2022
-0.94,11:24:00 PM,6/21/2022
-0.93,11:30:00 PM,6/21/2022
-0.86,11:36:00 PM,6/21/2022
-0.78,11:42:00 PM,6/21/2022
-0.69,11:48:00 PM,6/21/2022
-0.62,11:54:00 PM,6/21/2022
-0.57,12:00:00 AM,6/22/2022
-0.45,12:06:00 AM,6/22/2022
-0.38,12:12:00 AM,6/22/2022
-0.32,12:18:00 AM,6/22/2022
-0.22,12:24:00 AM,6/22/2022
-0.16,12:30:00 AM,6/22/2022
-0.06,12:36:00 AM,6/22/2022
0.01,12:42:00 AM,6/22/2022
0.09,12:48:00 AM,6/22/2022
0.16,12:54:00 AM,6/22/2022
0.26,1:00:00 AM,6/22/2022
0.35,1:06:00 AM,6/22/2022
0.42,1:12:00 AM,6/22/2022
0.5,1:18:00 AM,6/22/2022
0.57,1:24:00 AM,6/22/2022
0.67,1:30:00 AM,6/22/2022
0.75,1:36:00 AM,6/22/2022
0.79,1:42:00 AM,6/22/2022
1.11,2:06:00 AM,6/22/2022
1.13,2:12:00 AM,6/22/2022
1.19,2:18:00 AM,6/22/2022
1.28,2:24:00 AM,6/22/2022
1.34,2:30:00 AM,6/22/2022
1.53,2:48:00 AM,6/22/2022
1.57,2:54:00 AM,6/22/2022
1.6,3:00:00 AM,6/22/2022
1.66,3:06:00 AM,6/22/2022
1.66,3:12:00 AM,6/22/2022
1.68,3:18:00 AM,6/22/2022
1.71,3:24:00 AM,6/22/2022
1.74,3:30:00 AM,6/22/2022
1.72,3:36:00 AM,6/22/2022
1.75,3:42:00 AM,6/22/2022
1.72,3:48:00 AM,6/22/2022
1.7,3:54:00 AM,6/22/2022
1.69,4:00:00 AM,6/22/2022
1.65,4:06:00 AM,6/22/2022
1.6,4:12:00 AM,6/22/2022
1.54,4:18:00 AM,6/22/2022
1.48,4:24:00 AM,6/22/2022
1.41,4:30:00 AM,6/22/2022
1.35,4:36:00 AM,6/22/2022
1.27,4:42:00 AM,6/22/2022
1.2,4:48:00 AM,6/22/2022
1.14,4:54:00 AM,6/22/2022
1.06,5:00:00 AM,6/22/2022
1.01,5:06:00 AM,6/22/2022
0.94,5:12:00 AM,6/22/2022
0.88,5:18:00 AM,6/22/2022
0.8,5:24:00 AM,6/22/2022
0.74,5:30:00 AM,6/22/2022
0.63,5:36:00 AM,6/22/2022
0.57,5:42:00 AM,6/22/2022
0.5,5:48:00 AM,6/22/2022
0.41,5:54:00 AM,6/22/2022
0.35,6:00:00 AM,6/22/2022
0.28,6:06:00 AM,6/22/2022
0.18,6:12:00 AM,6/22/2022
0.1,6:18:00 AM,6/22/2022
0.04,6:24:00 AM,6/22/2022
-0.03,6:30:00 AM,6/22/2022
-0.1,6:36:00 AM,6/22/2022
-0.18,6:42:00 AM,6/22/2022
-0.25,6:48:00 AM,6/22/2022
-0.34,6:54:00 AM,6/22/2022
-0.42,7:00:00 AM,6/22/2022
-0.48,7:06:00 AM,6/22/2022
-0.67,7:12:00 AM,6/22/2022
-0.66,7:18:00 AM,6/22/2022
-0.93,7:24:00 AM,6/22/2022
-0.9,7:30:00 AM,6/22/2022
-0.93,7:36:00 AM,6/22/2022
-0.98,7:42:00 AM,6/22/2022
-1.06,7:48:00 AM,6/22/2022
-1.15,7:54:00 AM,6/22/2022
-1.24,8:00:00 AM,6/22/2022
-1.33,8:06:00 AM,6/22/2022
-1.42,8:12:00 AM,6/22/2022
-1.48,8:18:00 AM,6/22/2022
-1.56,8:24:00 AM,6/22/2022
-1.65,8:30:00 AM,6/22/2022
-1.85,8:48:00 AM,6/22/2022
-1.95,8:54:00 AM,6/22/2022
-2.02,9:00:00 AM,6/22/2022
-2.06,9:06:00 AM,6/22/2022
-2.11,9:12:00 AM,6/22/2022
-2.16,9:18:00 AM,6/22/2022
-2.27,9:24:00 AM,6/22/2022
-2.23,9:30:00 AM,6/22/2022
-2.29,9:36:00 AM,6/22/2022
-2.28,9:42:00 AM,6/22/2022
-2.29,9:48:00 AM,6/22/2022
-2.34,9:54:00 AM,6/22/2022
-2.32,10:00:00 AM,6/22/2022
-2.33,10:06:00 AM,6/22/2022
-2.32,10:12:00 AM,6/22/2022
-2.32,10:18:00 AM,6/22/2022
-2.28,10:24:00 AM,6/22/2022
-2.19,10:30:00 AM,6/22/2022
-2.12,10:36:00 AM,6/22/2022
-2.04,10:42:00 AM,6/22/2022
-1.96,10:48:00 AM,6/22/2022
-1.89,10:54:00 AM,6/22/2022
-1.82,11:00:00 AM,6/22/2022
-1.71,11:06:00 AM,6/22/2022
-1.66,11:12:00 AM,6/22/2022
-1.58,11:18:00 AM,6/22/2022
-1.52,11:24:00 AM,6/22/2022
-1.33,11:36:00 AM,6/22/2022
-1.26,11:42:00 AM,6/22/2022
-1.17,11:48:00 AM,6/22/2022
-1.13,11:54:00 AM,6/22/2022
-1.06,12:00:00 PM,6/22/2022
-1.01,12:06:00 PM,6/22/2022
-0.94,12:12:00 PM,6/22/2022
-0.87,12:18:00 PM,6/22/2022
-0.78,12:24:00 PM,6/22/2022
-0.56,12:36:00 PM,6/22/2022
-0.51,12:42:00 PM,6/22/2022
-0.46,12:48:00 PM,6/22/2022
-0.35,12:54:00 PM,6/22/2022
-0.29,1:00:00 PM,6/22/2022
-0.18,1:06:00 PM,6/22/2022
-0.16,1:12:00 PM,6/22/2022
-0.05,1:18:00 PM,6/22/2022
0.08,1:24:00 PM,6/22/2022
0.12,1:30:00 PM,6/22/2022
0.28,1:36:00 PM,6/22/2022
0.35,1:42:00 PM,6/22/2022
0.45,1:48:00 PM,6/22/2022
0.52,1:54:00 PM,6/22/2022
0.63,2:00:00 PM,6/22/2022
0.56,2:06:00 PM,6/22/2022
0.79,2:12:00 PM,6/22/2022
0.88,2:18:00 PM,6/22/2022
0.96,2:24:00 PM,6/22/2022
1.04,2:36:00 PM,6/22/2022
1.18,2:42:00 PM,6/22/2022
1.26,2:48:00 PM,6/22/2022
1.31,2:54:00 PM,6/22/2022
1.34,3:00:00 PM,6/22/2022
1.47,3:06:00 PM,6/22/2022
1.42,3:12:00 PM,6/22/2022
1.58,3:18:00 PM,6/22/2022
1.66,3:24:00 PM,6/22/2022
1.71,3:30:00 PM,6/22/2022
1.76,3:36:00 PM,6/22/2022
1.79,3:42:00 PM,6/22/2022
1.84,3:48:00 PM,6/22/2022
1.84,3:54:00 PM,6/22/2022
1.87,4:00:00 PM,6/22/2022
1.92,4:06:00 PM,6/22/2022
1.87,4:12:00 PM,6/22/2022
1.9,4:18:00 PM,6/22/2022
1.86,4:24:00 PM,6/22/2022
1.82,4:30:00 PM,6/22/2022
1.76,4:36:00 PM,6/22/2022
1.77,4:42:00 PM,6/22/2022
1.68,4:48:00 PM,6/22/2022
1.65,4:54:00 PM,6/22/2022
1.54,5:00:00 PM,6/22/2022
1.43,5:06:00 PM,6/22/2022
1.43,5:12:00 PM,6/22/2022
1.41,5:18:00 PM,6/22/2022
1.32,5:24:00 PM,6/22/2022
1.16,5:36:00 PM,6/22/2022
1.19,5:42:00 PM,6/22/2022
1.1,5:48:00 PM,6/22/2022
1.07,5:54:00 PM,6/22/2022
0.93,6:00:00 PM,6/22/2022
0.85,6:06:00 PM,6/22/2022
0.87,6:12:00 PM,6/22/2022
0.78,6:18:00 PM,6/22/2022
0.76,6:24:00 PM,6/22/2022
0.68,6:30:00 PM,6/22/2022
0.64,6:36:00 PM,6/22/2022
0.56,6:42:00 PM,6/22/2022
0.49,6:48:00 PM,6/22/2022
0.43,6:54:00 PM,6/22/2022
0.35,7:00:00 PM,6/22/2022
0.31,7:06:00 PM,6/22/2022
0.26,7:12:00 PM,6/22/2022
0.02,7:30:00 PM,6/22/2022
-0.05,7:36:00 PM,6/22/2022
-0.1,7:42:00 PM,6/22/2022
-0.15,7:48:00 PM,6/22/2022
-0.25,7:54:00 PM,6/22/2022
-0.3,8:00:00 PM,6/22/2022
-0.39,8:06:00 PM,6/22/2022
-0.52,8:12:00 PM,6/22/2022
-0.6,8:18:00 PM,6/22/2022
-0.6,8:24:00 PM,6/22/2022
-0.67,8:30:00 PM,6/22/2022
-0.73,8:36:00 PM,6/22/2022
-0.8,8:42:00 PM,6/22/2022
-0.94,8:48:00 PM,6/22/2022
-0.99,8:54:00 PM,6/22/2022
-1.06,9:00:00 PM,6/22/2022
-1.1,9:06:00 PM,6/22/2022
-1.19,9:12:00 PM,6/22/2022
-1.25,9:18:00 PM,6/22/2022
-1.31,9:24:00 PM,6/22/2022
-1.35,9:30:00 PM,6/22/2022
-1.41,9:36:00 PM,6/22/2022
-1.45,9:42:00 PM,6/22/2022
-1.5,9:48:00 PM,6/22/2022
-1.55,9:54:00 PM,6/22/2022
-1.59,10:00:00 PM,6/22/2022
-1.68,10:06:00 PM,6/22/2022
-1.72,10:12:00 PM,6/22/2022
-1.75,10:18:00 PM,6/22/2022
-1.8,10:24:00 PM,6/22/2022
-1.91,10:30:00 PM,6/22/2022
-1.91,10:36:00 PM,6/22/2022
-1.96,10:42:00 PM,6/22/2022
-1.98,10:48:00 PM,6/22/2022
-1.99,10:54:00 PM,6/22/2022
-2,11:00:00 PM,6/22/2022
-2,11:06:00 PM,6/22/2022
-1.95,11:12:00 PM,6/22/2022
-1.87,11:18:00 PM,6/22/2022
-1.82,11:24:00 PM,6/22/2022
-1.72,11:30:00 PM,6/22/2022
-1.57,11:36:00 PM,6/22/2022
-1.47,11:42:00 PM,6/22/2022
-1.36,11:48:00 PM,6/22/2022
-1.26,11:54:00 PM,6/22/2022
-1.2,12:00:00 AM,6/23/2022
-1.13,12:06:00 AM,6/23/2022
-1.06,12:12:00 AM,6/23/2022
-1.01,12:18:00 AM,6/23/2022
-0.97,12:24:00 AM,6/23/2022
-0.91,12:30:00 AM,6/23/2022
-0.83,12:36:00 AM,6/23/2022
-0.75,12:42:00 AM,6/23/2022
-0.69,12:48:00 AM,6/23/2022
-0.63,12:54:00 AM,6/23/2022
-0.54,1:00:00 AM,6/23/2022
-0.49,1:06:00 AM,6/23/2022
-0.42,1:12:00 AM,6/23/2022
-0.33,1:18:00 AM,6/23/2022
-0.31,1:24:00 AM,6/23/2022
-0.2,1:30:00 AM,6/23/2022
-0.14,1:36:00 AM,6/23/2022
-0.03,1:42:00 AM,6/23/2022
0.2,2:06:00 AM,6/23/2022
0.27,2:12:00 AM,6/23/2022
0.33,2:18:00 AM,6/23/2022
0.37,2:24:00 AM,6/23/2022
0.44,2:30:00 AM,6/23/2022
0.47,2:36:00 AM,6/23/2022
0.47,2:42:00 AM,6/23/2022
0.54,2:48:00 AM,6/23/2022
0.59,2:54:00 AM,6/23/2022
0.59,3:00:00 AM,6/23/2022
0.64,3:06:00 AM,6/23/2022
0.72,3:12:00 AM,6/23/2022
0.77,3:18:00 AM,6/23/2022
0.82,3:24:00 AM,6/23/2022
0.88,3:30:00 AM,6/23/2022
0.94,3:36:00 AM,6/23/2022
1.01,3:42:00 AM,6/23/2022
1.06,3:48:00 AM,6/23/2022
1.14,3:54:00 AM,6/23/2022
1.2,4:00:00 AM,6/23/2022
1.25,4:06:00 AM,6/23/2022
1.31,4:12:00 AM,6/23/2022
1.33,4:18:00 AM,6/23/2022
1.35,4:24:00 AM,6/23/2022
1.37,4:30:00 AM,6/23/2022
1.39,4:36:00 AM,6/23/2022
1.38,4:42:00 AM,6/23/2022
1.4,4:48:00 AM,6/23/2022
1.35,4:54:00 AM,6/23/2022
1.34,5:00:00 AM,6/23/2022
1.34,5:06:00 AM,6/23/2022
1.33,5:12:00 AM,6/23/2022
1.25,5:18:00 AM,6/23/2022
1.21,5:24:00 AM,6/23/2022
1.17,5:30:00 AM,6/23/2022
1.1,5:36:00 AM,6/23/2022
1.05,5:42:00 AM,6/23/2022
0.99,5:48:00 AM,6/23/2022
0.92,5:54:00 AM,6/23/2022
0.86,6:00:00 AM,6/23/2022
0.82,6:06:00 AM,6/23/2022
0.76,6:12:00 AM,6/23/2022
0.7,6:18:00 AM,6/23/2022
0.63,6:24:00 AM,6/23/2022
0.57,6:30:00 AM,6/23/2022
0.5,6:36:00 AM,6/23/2022
0.46,6:42:00 AM,6/23/2022
0.39,6:48:00 AM,6/23/2022
0.29,6:54:00 AM,6/23/2022
0.23,7:00:00 AM,6/23/2022
0.14,7:06:00 AM,6/23/2022
0.09,7:12:00 AM,6/23/2022
0,7:18:00 AM,6/23/2022
-0.05,7:24:00 AM,6/23/2022
-0.12,7:30:00 AM,6/23/2022
-0.21,7:36:00 AM,6/23/2022
-0.33,7:42:00 AM,6/23/2022
-0.35,7:48:00 AM,6/23/2022
-0.45,7:54:00 AM,6/23/2022
-0.54,8:00:00 AM,6/23/2022
-0.63,8:06:00 AM,6/23/2022
-0.69,8:12:00 AM,6/23/2022
-0.75,8:18:00 AM,6/23/2022
-0.84,8:24:00 AM,6/23/2022
-0.92,8:30:00 AM,6/23/2022
-1.15,8:48:00 AM,6/23/2022
-1.2,8:54:00 AM,6/23/2022
-1.29,9:00:00 AM,6/23/2022
-1.33,9:06:00 AM,6/23/2022
-1.39,9:12:00 AM,6/23/2022
-1.49,9:18:00 AM,6/23/2022
-1.54,9:24:00 AM,6/23/2022
-1.62,9:30:00 AM,6/23/2022
-1.82,9:36:00 AM,6/23/2022
-1.76,9:42:00 AM,6/23/2022
-1.84,9:48:00 AM,6/23/2022
-1.87,9:54:00 AM,6/23/2022
-1.95,10:00:00 AM,6/23/2022
-2.02,10:06:00 AM,6/23/2022
-2.08,10:12:00 AM,6/23/2022
-2.12,10:18:00 AM,6/23/2022
-2.16,10:24:00 AM,6/23/2022
-2.14,10:30:00 AM,6/23/2022
-2.11,10:36:00 AM,6/23/2022
-2.07,10:42:00 AM,6/23/2022
-2.06,10:48:00 AM,6/23/2022
-2.01,10:54:00 AM,6/23/2022
-2.01,11:00:00 AM,6/23/2022
-1.97,11:06:00 AM,6/23/2022
-1.97,11:12:00 AM,6/23/2022
-1.94,11:18:00 AM,6/23/2022
-1.9,11:24:00 AM,6/23/2022
-1.75,11:36:00 AM,6/23/2022
-1.68,11:42:00 AM,6/23/2022
-1.6,11:48:00 AM,6/23/2022
-1.58,11:54:00 AM,6/23/2022
-1.42,12:00:00 PM,6/23/2022
-1.35,12:06:00 PM,6/23/2022
-1.27,12:12:00 PM,6/23/2022
-1.21,12:18:00 PM,6/23/2022
-1.14,12:24:00 PM,6/23/2022
-1.06,12:30:00 PM,6/23/2022
-0.98,12:36:00 PM,6/23/2022
-0.92,12:42:00 PM,6/23/2022
-0.81,12:48:00 PM,6/23/2022
-0.75,12:54:00 PM,6/23/2022
-0.68,1:00:00 PM,6/23/2022
-0.59,1:06:00 PM,6/23/2022
-0.53,1:12:00 PM,6/23/2022
-0.39,1:18:00 PM,6/23/2022
-0.31,1:24:00 PM,6/23/2022
-0.24,1:30:00 PM,6/23/2022
-0.13,1:36:00 PM,6/23/2022
-0.06,1:42:00 PM,6/23/2022
-0.1,1:48:00 PM,6/23/2022
0.05,1:54:00 PM,6/23/2022
0.14,2:00:00 PM,6/23/2022
0.21,2:06:00 PM,6/23/2022
0.31,2:12:00 PM,6/23/2022
0.4,2:18:00 PM,6/23/2022
0.47,2:24:00 PM,6/23/2022
0.56,2:30:00 PM,6/23/2022
0.67,2:36:00 PM,6/23/2022
0.78,2:42:00 PM,6/23/2022
0.86,2:48:00 PM,6/23/2022
0.94,2:54:00 PM,6/23/2022
0.99,3:00:00 PM,6/23/2022
1.13,3:06:00 PM,6/23/2022
1.19,3:12:00 PM,6/23/2022
1.28,3:18:00 PM,6/23/2022
1.38,3:24:00 PM,6/23/2022
1.45,3:30:00 PM,6/23/2022
1.53,3:36:00 PM,6/23/2022
1.45,3:42:00 PM,6/23/2022
1.7,3:48:00 PM,6/23/2022
1.77,3:54:00 PM,6/23/2022
1.84,4:00:00 PM,6/23/2022
1.9,4:06:00 PM,6/23/2022
1.93,4:12:00 PM,6/23/2022
2.01,4:18:00 PM,6/23/2022
2.05,4:24:00 PM,6/23/2022
2.11,4:30:00 PM,6/23/2022
2.14,4:36:00 PM,6/23/2022
2.19,4:42:00 PM,6/23/2022
2.2,4:48:00 PM,6/23/2022
2.25,4:54:00 PM,6/23/2022
2.26,5:00:00 PM,6/23/2022
2.26,5:06:00 PM,6/23/2022
2.28,5:12:00 PM,6/23/2022
2.27,5:18:00 PM,6/23/2022
2.26,5:24:00 PM,6/23/2022
2.14,5:30:00 PM,6/23/2022
2.2,5:36:00 PM,6/23/2022
2.15,5:42:00 PM,6/23/2022
2.09,5:48:00 PM,6/23/2022
2.03,5:54:00 PM,6/23/2022
1.92,6:00:00 PM,6/23/2022
1.91,6:06:00 PM,6/23/2022
1.83,6:12:00 PM,6/23/2022
1.76,6:18:00 PM,6/23/2022
1.67,6:24:00 PM,6/23/2022
1.48,6:36:00 PM,6/23/2022
1.46,6:42:00 PM,6/23/2022
1.42,6:48:00 PM,6/23/2022
1.33,6:54:00 PM,6/23/2022
1.29,7:00:00 PM,6/23/2022
1.21,7:06:00 PM,6/23/2022
1.12,7:12:00 PM,6/23/2022
1.11,7:18:00 PM,6/23/2022
1.02,7:24:00 PM,6/23/2022
1.01,7:30:00 PM,6/23/2022
0.94,7:36:00 PM,6/23/2022
0.89,7:42:00 PM,6/23/2022
0.78,7:48:00 PM,6/23/2022
0.77,7:54:00 PM,6/23/2022
0.73,8:00:00 PM,6/23/2022
0.58,8:06:00 PM,6/23/2022
0.57,8:12:00 PM,6/23/2022
0.51,8:18:00 PM,6/23/2022
0.45,8:24:00 PM,6/23/2022
0.37,8:30:00 PM,6/23/2022
0.29,8:36:00 PM,6/23/2022
0.21,8:42:00 PM,6/23/2022
0.15,8:48:00 PM,6/23/2022
0.07,8:54:00 PM,6/23/2022
0,9:00:00 PM,6/23/2022
-0.1,9:06:00 PM,6/23/2022
-0.16,9:12:00 PM,6/23/2022
-0.22,9:18:00 PM,6/23/2022
-0.31,9:24:00 PM,6/23/2022
-0.37,9:30:00 PM,6/23/2022
-0.47,9:36:00 PM,6/23/2022
-0.59,9:42:00 PM,6/23/2022
-0.61,9:48:00 PM,6/23/2022
-0.64,9:54:00 PM,6/23/2022
-0.71,10:00:00 PM,6/23/2022
-0.78,10:06:00 PM,6/23/2022
-0.84,10:12:00 PM,6/23/2022
-0.92,10:18:00 PM,6/23/2022
-0.97,10:24:00 PM,6/23/2022
-1.06,10:30:00 PM,6/23/2022
-1.1,10:36:00 PM,6/23/2022
-1.17,10:42:00 PM,6/23/2022
-1.23,10:48:00 PM,6/23/2022
-1.28,10:54:00 PM,6/23/2022
-1.33,11:00:00 PM,6/23/2022
-1.37,11:06:00 PM,6/23/2022
-1.4,11:12:00 PM,6/23/2022
-1.44,11:18:00 PM,6/23/2022
-1.46,11:24:00 PM,6/23/2022
-1.47,11:30:00 PM,6/23/2022
-1.48,11:36:00 PM,6/23/2022
-1.47,11:42:00 PM,6/23/2022
-1.45,11:48:00 PM,6/23/2022
-1.41,11:54:00 PM,6/23/2022
-1.37,12:00:00 AM,6/24/2022
-1.33,12:06:00 AM,6/24/2022
-1.25,12:12:00 AM,6/24/2022
-1.21,12:18:00 AM,6/24/2022
-1.14,12:24:00 AM,6/24/2022
-1.08,12:30:00 AM,6/24/2022
-1.01,12:36:00 AM,6/24/2022
-0.94,12:42:00 AM,6/24/2022
-0.92,12:48:00 AM,6/24/2022
-0.85,12:54:00 AM,6/24/2022
-0.83,1:00:00 AM,6/24/2022
-0.77,1:06:00 AM,6/24/2022
-0.72,1:12:00 AM,6/24/2022
-0.67,1:18:00 AM,6/24/2022
-0.64,1:24:00 AM,6/24/2022
-0.58,1:30:00 AM,6/24/2022
-0.52,1:36:00 AM,6/24/2022
-0.49,1:42:00 AM,6/24/2022
-0.22,2:06:00 AM,6/24/2022
-0.15,2:12:00 AM,6/24/2022
-0.08,2:18:00 AM,6/24/2022
0,2:24:00 AM,6/24/2022
0.05,2:30:00 AM,6/24/2022
0.13,2:36:00 AM,6/24/2022
0.22,2:42:00 AM,6/24/2022
0.28,2:48:00 AM,6/24/2022
0.35,2:54:00 AM,6/24/2022
0.44,3:00:00 AM,6/24/2022
0.5,3:06:00 AM,6/24/2022
0.57,3:12:00 AM,6/24/2022
0.64,3:18:00 AM,6/24/2022
0.71,3:24:00 AM,6/24/2022
0.78,3:30:00 AM,6/24/2022
0.85,3:36:00 AM,6/24/2022
0.92,3:42:00 AM,6/24/2022
0.96,3:48:00 AM,6/24/2022
1.02,3:54:00 AM,6/24/2022
1.06,4:00:00 AM,6/24/2022
1.1,4:06:00 AM,6/24/2022
1.16,4:12:00 AM,6/24/2022
1.18,4:18:00 AM,6/24/2022
1.26,4:24:00 AM,6/24/2022
1.28,4:30:00 AM,6/24/2022
1.31,4:36:00 AM,6/24/2022
1.38,4:42:00 AM,6/24/2022
1.41,4:48:00 AM,6/24/2022
1.43,4:54:00 AM,6/24/2022
1.47,5:00:00 AM,6/24/2022
1.45,5:06:00 AM,6/24/2022
1.51,5:12:00 AM,6/24/2022
1.53,5:18:00 AM,6/24/2022
1.52,5:24:00 AM,6/24/2022
1.52,5:30:00 AM,6/24/2022
1.49,5:36:00 AM,6/24/2022
1.49,5:42:00 AM,6/24/2022
1.45,5:48:00 AM,6/24/2022
1.44,5:54:00 AM,6/24/2022
1.37,6:00:00 AM,6/24/2022
1.34,6:06:00 AM,6/24/2022
1.31,6:12:00 AM,6/24/2022
1.25,6:18:00 AM,6/24/2022
1.14,6:24:00 AM,6/24/2022
1.15,6:30:00 AM,6/24/2022
1.07,6:36:00 AM,6/24/2022
1,6:42:00 AM,6/24/2022
0.94,6:48:00 AM,6/24/2022
0.94,6:54:00 AM,6/24/2022
0.87,7:00:00 AM,6/24/2022
0.83,7:06:00 AM,6/24/2022
0.77,7:12:00 AM,6/24/2022
0.69,7:18:00 AM,6/24/2022
0.67,7:24:00 AM,6/24/2022
0.53,7:30:00 AM,6/24/2022
0.54,7:36:00 AM,6/24/2022
0.52,7:42:00 AM,6/24/2022
0.42,7:48:00 AM,6/24/2022
0.37,7:54:00 AM,6/24/2022
0.31,8:00:00 AM,6/24/2022
0.16,8:06:00 AM,6/24/2022
0.1,8:12:00 AM,6/24/2022
0.1,8:18:00 AM,6/24/2022
0,8:24:00 AM,6/24/2022
-0.27,8:48:00 AM,6/24/2022
-0.36,8:54:00 AM,6/24/2022
-0.41,9:00:00 AM,6/24/2022
-0.48,9:06:00 AM,6/24/2022
-0.6,9:12:00 AM,6/24/2022
-0.67,9:18:00 AM,6/24/2022
-0.7,9:24:00 AM,6/24/2022
